prefix,reference,entity
green-belt-core,Bath and Bristol,611001
green-belt-core,Birmingham,611002
green-belt-core,Blackpool,611003
green-belt-core,South West Hampshire,611004
green-belt-core,Burton-upon-Trent and Swadlincote,611005
green-belt-core,Cambridge,611006
green-belt-core,"Carnforth, Lancaster and Morecambe",611007
green-belt-core,Cheltenham and Gloucester,611008
green-belt-core,Derby and Nottingham,611009
green-belt-core,London,611010
green-belt-core,Merseyside and Greater Manchester,611011
green-belt-core,Oxford,611012
green-belt-core,South and West Yorkshire,611013
green-belt-core,Stoke-on-Trent,611014
green-belt-core,Tyne and Wear,611015
green-belt-core,York,611016
green-belt,E06000006/Merseyside and Greater Manchester,610000
green-belt,E06000007/Merseyside and Greater Manchester,610001
green-belt,E06000008/Merseyside and Greater Manchester,610002
green-belt,E06000009/Blackpool,610003
green-belt,E06000014/York,610004
green-belt,E06000015/Derby and Nottingham,610005
green-belt,E06000018/Derby and Nottingham,610006
green-belt,E06000021/Stoke-on-Trent,610007
green-belt,E06000022/Bath and Bristol,610008
green-belt,E06000023/Bath and Bristol,610009
green-belt,E06000024/Bath and Bristol,610010
green-belt,E06000025/Bath and Bristol,610011
green-belt,E06000032/London,610012
green-belt,E06000033/London,610013
green-belt,E06000034/London,610014
green-belt,E06000035/London,610015
green-belt,E06000036/London,610016
green-belt,E06000039/London,610017
green-belt,E06000040/London,610018
green-belt,E06000041/London,610019
green-belt,E06000047/Tyne and Wear,610020
green-belt,E06000049/Merseyside and Greater Manchester,610021
green-belt,E06000049/Stoke-on-Trent,610022
green-belt,E06000050/Merseyside and Greater Manchester,610023
green-belt,E06000051/Birmingham,610024
green-belt,E06000054/Bath and Bristol,610025
green-belt,E06000056/London,610026
green-belt,E06000057/Tyne and Wear,610027
green-belt,E06000058/South West Hampshire,610028
green-belt,E06000059/South West Hampshire,610029
green-belt,E06000060/London,610030
green-belt,E07000008/Cambridge,610031
green-belt,E07000009/Cambridge,610032
green-belt,E07000012/Cambridge,610033
green-belt,E07000032/Derby and Nottingham,610034
green-belt,E07000033/South and West Yorkshire,610035
green-belt,E07000034/South and West Yorkshire,610036
green-belt,E07000036/Derby and Nottingham,610037
green-belt,E07000037/Merseyside and Greater Manchester,610038
green-belt,E07000038/South and West Yorkshire,610039
green-belt,E07000039/Burton-upon-Trent and Swadlincote,610040
green-belt,E07000039/Derby and Nottingham,610041
green-belt,E07000066/London,610042
green-belt,E07000068/London,610043
green-belt,E07000069/London,610044
green-belt,E07000070/London,610045
green-belt,E07000072/London,610046
green-belt,E07000073/London,610047
green-belt,E07000075/London,610048
green-belt,E07000077/London,610049
green-belt,E07000078/Cheltenham and Gloucester,610050
green-belt,E07000079/Cheltenham and Gloucester,610051
green-belt,E07000083/Cheltenham and Gloucester,610052
green-belt,E07000091/South West Hampshire,610053
green-belt,E07000095/London,610054
green-belt,E07000096/London,610055
green-belt,E07000098/London,610056
green-belt,E07000099/London,610057
green-belt,E07000102/London,610058
green-belt,E07000103/London,610059
green-belt,E07000107/London,610060
green-belt,E07000109/London,610061
green-belt,E07000110/London,610062
green-belt,E07000111/London,610063
green-belt,E07000115/London,610064
green-belt,E07000116/London,610065
green-belt,E07000117/Merseyside and Greater Manchester,610066
green-belt,E07000118/Merseyside and Greater Manchester,610067
green-belt,E07000119/Blackpool,610068
green-belt,E07000120/Merseyside and Greater Manchester,610069
green-belt,"E07000121/Carnforth, Lancaster and Morecambe",610070
green-belt,E07000122/Merseyside and Greater Manchester,610071
green-belt,E07000123/Merseyside and Greater Manchester,610072
green-belt,E07000124/Merseyside and Greater Manchester,610073
green-belt,E07000125/Merseyside and Greater Manchester,610074
green-belt,E07000126/Merseyside and Greater Manchester,610075
green-belt,E07000127/Merseyside and Greater Manchester,610076
green-belt,E07000128/Blackpool,610077
green-belt,E07000164/York,610078
green-belt,E07000165/South and West Yorkshire,610079
green-belt,E07000165/York,610080
green-belt,E07000167/York,610081
green-belt,E07000169/South and West Yorkshire,610082
green-belt,E07000169/York,610083
green-belt,E07000170/Derby and Nottingham,610084
green-belt,E07000172/Derby and Nottingham,610085
green-belt,E07000173/Derby and Nottingham,610086
green-belt,E07000175/Derby and Nottingham,610087
green-belt,E07000176/Derby and Nottingham,610088
green-belt,E07000177/Oxford,610089
green-belt,E07000178/Oxford,610090
green-belt,E07000179/Oxford,610091
green-belt,E07000180/Oxford,610092
green-belt,E07000181/Oxford,610093
green-belt,E07000187/Bath and Bristol,610094
green-belt,E07000192/Birmingham,610095
